,id,reviewContent,createDate,reviewScore
2168,3342101785,황금색응아가 나와요 ,2022-01-08T08:40:28.726+0000,5
2169,3325737031,항상 애용하는 제품입니다,2021-12-16T11:05:30.030+0000,5
2170,3322033866,전날 오후에 시켰는데 하루만에 받았습니다 택배 아주 빠르네요,2021-12-11T08:55:20.884+0000,5
2171,3339482012,항상 먹는거에요 감사합니다,2022-01-05T05:40:28.423+0000,5
2172,3335436035,배송 총알같이 빠르네요 물건 좋습니다,2021-12-30T03:55:03.223+0000,5
2173,3340726629,맛도 달달하고 좋아요,2022-01-06T12:57:40.605+0000,5
2174,3334890880,상품과 배송 모두 만족합니다 배송 엄청 빠르네요,2021-12-29T09:54:10.466+0000,5
2175,3340160181,편하게 잘 먹고 있습니다,2022-01-06T01:38:29.318+0000,5
2176,3339737253,포장도깔끔하고 만족합니다,2022-01-05T10:40:44.034+0000,5
2177,3318489021,굉장히 만족하면서 먹고 있습니다 부담없이 먹어요 추천해요,2021-12-07T01:09:45.211+0000,4
2178,3340321030,편리하고 너무 좋아요,2022-01-06T04:59:57.941+0000,5
2179,3357191625,좋아요 좋아요  네,2022-01-29T10:44:26.166+0000,5
2180,3330408975,꾸준히 먹는 제품이예요 오랜기간 먹으면 효과가 떨어지는거같네요 처음 몇달간은 효과가 좋아요,2021-12-23T00:34:04.581+0000,5
2181,3341184077,괜찮아요 먹기도 편하고,2022-01-07T04:45:09.432+0000,5
2182,3326492119,저렴하게   구매했어요,2021-12-17T09:31:01.229+0000,5
2183,3323222190,싸고 먹기에 편하고 맛도 좋구 좋아요,2021-12-13T06:31:43.300+0000,5
2184,3324131136,효과있겠죠 꾸준히 먹어보려구요,2021-12-14T11:28:25.824+0000,5
2185,3329539362,맛도 좋고 먹기도 편해요 그래서 빠지지않고 먹게 되고 효과도 너무나 좋습니다 항상 재구매하고 있어요,2021-12-21T19:43:28.567+0000,5
2186,3324621329,계속구매해서 먹고있어요,2021-12-15T04:48:20.068+0000,5
2187,3339207119,선물용으로 구입했어요,2022-01-04T21:12:58.763+0000,5
2188,3323916536,늘 먹꼬 잇던 제품이라 제구매햇어요,2021-12-14T07:27:59.364+0000,5
2189,3335449954,선물용으로 아주 좋네요 잘 사용할께요,2021-12-30T04:14:49.740+0000,5
2190,3315946192,한 달 가량 먹었는데 큰  효과는  없었고요 앞으로도 꾸준히 먹어보겠습니다,2021-12-03T04:05:18.247+0000,5
2191,3328130909,떨어지기 전에 미리구매했는데 배송 받고나니 좀 더 할인된 가격에 나왔네요 그래도 괜찮은 가격에 구매 잘 한거같아요,2021-12-20T01:57:35.629+0000,4
2192,3314997429,년이상 먹고 있어요 하루 한 포 먹고있고 장이 민할때 관리되어 좋습니다 떨어지지않게 구비해두고 있어요,2021-12-02T00:58:28.067+0000,5
2193,3320227918,연두색먹다가 바꿔먹어보려고 구매했는데 맛있고좋아요,2021-12-09T02:56:08.292+0000,5
2194,3324130947,매번 구매해서 먹고있어요,2021-12-14T11:28:15.490+0000,5
2195,3296088902,밤 시가 넘어서 주문했는데 새벽에 발송 문자가 와서 결제되면 자동으로 넘어가는건가 했는데 정말 다음날 낮에 택배가 도착했어요 진짜 이렇게 빠른 배송 처음이에요 최고에요 할인도 많이 해서 저렴하게 잘 구매했습니당 먹기 편하고 맛있어서 항상 즐겨먹는 제품입니당 제품 성능이 근데 더 좋아졌네요 좋은 제품 빠른 배송 감사합니다,2021-11-04T12:36:03.313+0000,5
2196,3339959662,늘먹는유산균 최고야,2022-01-05T14:41:44.753+0000,5
2197,3334886658,아이들이랑 항상 먹던 유산균입니다  부담없이먹기좋아요,2021-12-29T09:48:56.730+0000,5
2198,3323478309,아이들이 엄청 잘챙겨먹어요,2021-12-13T13:44:41.351+0000,5
2199,3340308177,상품 잘받았습니다,2022-01-06T04:43:06.620+0000,5
2200,3338256629,역시 이걸 먹어야 잘갑니다,2022-01-03T12:31:13.827+0000,5
2201,3340738157,먹던거예여 좋네여,2022-01-06T13:10:40.349+0000,3
2202,3337520026,배송이 빨라서 무엇보다 좋네요,2022-01-02T10:54:07.870+0000,5
2203,3336890022,어머님 드려서 사진은 없구요 재주문입니다,2022-01-01T05:59:27.913+0000,5
2204,3328285399,항상 먹던 유산균을 오프라인에서 구입하다가  가격이 부담이되 좀더 저렴한걸로 찾다가 이곳에서 구입 확정 유통기한도 넉넉하고 가격도 저렴해서 구입하게 됐습니다,2021-12-20T04:37:07.417+0000,5
2205,3338423560,배송이 빨라 좋았습니다,2022-01-03T23:24:07.713+0000,5
2206,3321154210,아빠가 효과를 보셔서 꾸준히 구매하고 있어요,2021-12-10T05:03:32.800+0000,5
2207,3312187762,매일 꾸준하게 챙겨먹고 있는 락토핏 휴대하기 간편하고 먹기 거북하지않고 맛도 갠춘 재구매하러 올게요,2021-11-27T22:40:54.640+0000,5
2208,3334029076,유통기한도 넉넉하고 편하게 먹기 좋게 되어있어서 좋네요,2021-12-28T08:45:55.837+0000,5
2209,3322068631,저렴한 가격에 좋은 제품 구매했어요,2021-12-11T09:55:18.234+0000,4
